timestamp,track_id,plate_number,violation_type,image_path,plate_image_path
2026-07-26T01:56:18,1173,,NO_HELMET,outputs\khong_doi_mu\1173_20260726_015618_nguoi.jpg,
2026-07-26T01:56:21,1237,,NO_HELMET,outputs\khong_doi_mu\1237_20260726_015621_nguoi.jpg,outputs\khong_doi_mu\1237_20260726_015621_bienso.jpg
2026-07-26T01:56:22,1241,,NO_HELMET,outputs\khong_doi_mu\1241_20260726_015622_nguoi.jpg,
2026-07-26T01:56:34,1347,,NO_HELMET,outputs\khong_doi_mu\1347_20260726_015634_nguoi.jpg,
2026-07-26T01:56:40,1472,,NO_HELMET,outputs\khong_doi_mu\1472_20260726_015640_nguoi.jpg,
2026-07-26T01:56:45,1498,,NO_HELMET,outputs\khong_doi_mu\1498_20260726_015645_nguoi.jpg,outputs\khong_doi_mu\1498_20260726_015645_bienso.jpg
2026-07-26T01:56:55,1683,,NO_HELMET,outputs\khong_doi_mu\1683_20260726_015655_nguoi.jpg,
2026-07-26T01:56:56,1689,,NO_HELMET,outputs\khong_doi_mu\1689_20260726_015656_nguoi.jpg,outputs\khong_doi_mu\1689_20260726_015656_bienso.jpg
2026-07-26T01:56:58,1703,,NO_HELMET,outputs\khong_doi_mu\1703_20260726_015658_nguoi.jpg,
2026-07-26T01:56:59,1692,,NO_HELMET,outputs\khong_doi_mu\1692_20260726_015659_nguoi.jpg,
2026-07-26T01:57:00,1731,,NO_HELMET,outputs\khong_doi_mu\1731_20260726_015700_nguoi.jpg,
2026-07-26T01:57:00,1728,,NO_HELMET,outputs\khong_doi_mu\1728_20260726_015700_nguoi.jpg,outputs\khong_doi_mu\1728_20260726_015700_bienso.jpg
2026-07-26T01:57:10,1847,,NO_HELMET,outputs\khong_doi_mu\1847_20260726_015710_nguoi.jpg,outputs\khong_doi_mu\1847_20260726_015710_bienso.jpg
2026-07-26T01:57:14,1805,,NO_HELMET,outputs\khong_doi_mu\1805_20260726_015714_nguoi.jpg,outputs\khong_doi_mu\1805_20260726_015714_bienso.jpg
2026-07-26T02:00:26,126,,NO_HELMET,outputs\khong_doi_mu\126_20260726_020026_nguoi.jpg,
2026-07-26T02:00:29,158,,NO_HELMET,outputs\khong_doi_mu\158_20260726_020029_nguoi.jpg,outputs\khong_doi_mu\158_20260726_020029_bienso.jpg
